# Family Xorddos
/bin/rhagsndvfy: 1
/bin/uddkydains: 1
/tmp/fodbvdnhsn: 1
/bin/mwwoypzufz: 1
/tmp/dgwiycnetz: 1
/usr/bin/cdgbmhmcgp: 1
/tmp/qdwwepieos: 1
/usr/bin/rhagsndvfy: 1
/bin/ufexrvielo: 1
/usr/bin/wngwgneypc: 1
/usr/bin/wrumxftgqf: 1
/bin/wdbqidxnlr: 1
/usr/bin/zhuiecojnw: 1
/tmp/dzbdkvgonp: 1
/bin/ycdeqwpdzo: 1
/usr/bin/rlgsxgkiyh: 1
/tmp/kdtznvjzae: 1
/tmp/paotmgwldf: 1
/tmp/zxwmwfofcj: 1
/bin/gjfgeusjob: 1
/usr/bin/rxjrluxgfo: 1
/tmp/rghkzyjsyf: 1
/tmp/wrumxftgqf: 1
/usr/bin/pkloafwerg: 1
/usr/bin/buhlnolioa: 1
/usr/bin/yndpaltnop: 1
/bin/rfdxiikjzf: 1
/usr/bin/hovvssksho: 1
/bin/ucbvfbgyis: 1
/usr/bin/xumqzepgbm: 1
/tmp/rfdxiikjzf: 1
/etc/rc.d/rc3.d/S90hovvssksho: 1
/usr/bin/ofifypeyyx: 1
/tmp/oayatyuwvq: 1
/etc/rc2.d/S90hovvssksho: 1
/bin/icscqudtht: 1
/tmp/uddkydains: 1
/tmp/qhepksfqrs: 1
/tmp/xumqzepgbm: 1
/usr/bin/yfhtuvmpmi: 1
/bin/jywtbxmvbj: 1
/tmp/cjngzfnnor: 1
/tmp/buhlnolioa: 1
/usr/bin/espesgvdlv: 1
/usr/bin/xoqomfuzla: 1
/usr/bin/ycdeqwpdzo: 1
/tmp/zhuiecojnw: 1
/tmp/npsurzypgw: 1
/bin/iwbnrmpsje: 1
/bin/zxwmwfofcj: 1
/usr/bin/zpphtwmond: 1
/tmp/foojxmxceh: 1
/tmp/mzobtkbctv: 1
/tmp/cdgbmhmcgp: 1
/usr/bin/ncwboyjxfw: 1
/tmp/qgzddvrvhr: 1
/tmp/yyszltcdwn: 1
/tmp/xoqomfuzla: 1
/usr/bin/qgzddvrvhr: 1
/tmp/ufexrvielo: 1
/usr/bin/ufexrvielo: 1
/usr/bin/foojxmxceh: 1
/bin/xqmyacxkmc: 1
/tmp/jywtbxmvbj: 1
/usr/bin/rghkzyjsyf: 1
/usr/bin/niwqolwsun: 1
/usr/bin/mzobtkbctv: 1
/usr/bin/pilgcuanld: 1
/tmp/fmhwchzjge: 1
/usr/bin/kdtznvjzae: 1
/usr/bin/vwvtwzgkge: 1
/etc/rc3.d/S90hovvssksho: 1
/etc/rc1.d/S90hovvssksho: 1
/bin/fodbvdnhsn: 1
/bin/fmhwchzjge: 1
/tmp/wdbqidxnlr: 1
/etc/rc.d/rc2.d/S90hovvssksho: 1
/bin/qgzddvrvhr: 1
/tmp/gjfgeusjob: 1
/usr/bin/gjfgeusjob: 1
/tmp/niwqolwsun: 1
/bin/buhlnolioa: 1
/tmp/impkwzbvrk: 1
/tmp/xqmyacxkmc: 1
/bin/pcsodzmaxl: 1
/usr/bin/kjtctkyegh: 1
/usr/bin/paotmgwldf: 1
/bin/oayatyuwvq: 1
/usr/bin/eajfmlaryg: 1
/usr/bin/tufeyypcey: 1
/bin/fryefkjspf: 1
/tmp/xhpmbcrrup: 1
/usr/bin/gbrjdgmndb: 1
/etc/rc4.d/S90hktspplivc: 1
/usr/bin/xlvksrmyip: 1
/tmp/dwkhihkxni: 1
/etc/rc3.d/S90hktspplivc: 1
/usr/bin/swmvnkxrkx: 1
/usr/bin/ylatkabvub: 1
/usr/bin/yswbbtnqts: 1
/bin/sjxdvzbvet: 1
/usr/bin/vasklgfkdk: 1
/etc/rc.d/rc2.d/S90hktspplivc: 1
/usr/bin/akhwzkhzuw: 1
/tmp/sxzsezqnje: 1
/usr/bin/npdvdsculy: 1
/tmp/tufeyypcey: 1
/bin/fndsvjhbag: 1
/bin/veqgnlvcex: 1
/usr/bin/pegamwfkoe: 1
/bin/fyhtcdhmxs: 1
/usr/bin/ecwroeosbe: 1
/etc/rc.d/rc5.d/S90hktspplivc: 1
/usr/bin/veqgnlvcex: 1
/tmp/aimziccpji: 1
/tmp/qnhpymldyj: 1
/bin/ovgafhjgpl: 1
/tmp/rxauqbwlig: 1
/bin/llwwkpdhfk: 1
/tmp/pbyxicznrj: 1
/tmp/qzfoszkfmk: 1
/tmp/yswbbtnqts: 1
/usr/bin/llwwkpdhfk: 1
/tmp/fyhtcdhmxs: 1
/usr/bin/aimziccpji: 1
/bin/aimziccpji: 1
/bin/gdkcgaotvs: 1
/tmp/vasklgfkdk: 1
/bin/gqibvvdllm: 1
/bin/dwkhihkxni: 1
/bin/pymfxvjiqa: 1
/tmp/kyskgsupuj: 1
/bin/sxzsezqnje: 1
/bin/pbyxicznrj: 1
/tmp/sjxdvzbvet: 1
/usr/bin/tvyhaxtnrw: 1
/tmp/pymfxvjiqa: 1
/tmp/swmvnkxrkx: 1
/tmp/oegecazifg: 1
/etc/rc.d/rc4.d/S90hktspplivc: 1
/bin/tufeyypcey: 1
/tmp/llwwkpdhfk: 1
/usr/bin/fryefkjspf: 1
/tmp/mfkrwuzott: 1
/bin/qnkgdeccuq: 1
/tmp/epyiacxuot: 1
/bin/cewcafucaf: 1
/tmp/eajfmlaryg: 1
/bin/ylatkabvub: 1
/etc/rc2.d/S90hktspplivc: 1
/tmp/qnkgdeccuq: 1
/usr/bin/afxbjcoefj: 1
/bin/dvwyaplcdr: 1
/tmp/tvyhaxtnrw: 1
/bin/ecwroeosbe: 1
/tmp/gdkcgaotvs: 1
/usr/bin/mfkrwuzott: 1
/usr/bin/arfucuvxwx: 1
/usr/bin/mvgqzivvhl: 1
/bin/mlexaznjhu: 1
/bin/arfucuvxwx: 1
/tmp/ecwroeosbe: 1
/bin/kutzjyffpj: 1
/usr/bin/dvwyaplcdr: 1
/tmp/mvgqzivvhl: 1
/bin/vfagyhmnmq: 1
/tmp/cewcafucaf: 1
/usr/bin/sjxdvzbvet: 1
/bin/vqkqbwaquc: 1
/usr/bin/rxauqbwlig: 1
/usr/bin/ovgafhjgpl: 1
/bin/afxbjcoefj: 1
/usr/bin/irjeplnjfh: 1
/usr/bin/gdkcgaotvs: 1
/usr/bin/dglpokehpx: 1
/bin/yswbbtnqts: 1
/tmp/sgowsxbqho: 1
/bin/ivahgrmsbx: 1
/usr/bin/fndsvjhbag: 1
/usr/bin/qzfoszkfmk: 1
/tmp/fndsvjhbag: 1
