EntityType,ActionType,Source,Syscall,EnVerb,Sentence
PROC,PROC_OTHER,man,kcmp(),check,
PROC,PROC_OTHER,man,migrate_pages(),move,
PROC,PROC_OTHER,man,mincore(),determine,
PROC,PROC_OTHER,man,move_pages(),move,
PROC,PROC_OTHER,man,nanosleep(),suspend,
PROC,PROC_OTHER,man,nanosleep(),sleep,
PROC,PROC_OTHER,man,pkey_alloc(),allocate,
PROC,PROC_OTHER,man,pkey_free(),free,
PROC,PROC_OTHER,man,prctl(),operate,
PROC,PROC_OTHER,man,process_vm_readv(),transfer,
PROC,PROC_OTHER,man,process_vm_writev(),transfer,
PROC,PROC_OTHER,man,reboot(),enable,
PROC,PROC_OTHER,man,reboot(),disable,
PROC,PROC_OTHER,man,reboot(),reboot,
PROC,PROC_OTHER,man,sched_yield(),yield,
PROC,PROC_OTHER,man,sched_yield(),cause,
PROC,PROC_OTHER,man,seccomp(),operate on,
PROC,PROC_OTHER,man,timer_create(),create,
PROC,PROC_OTHER,man,timer_delete(),delete,
PROC,PROC_OTHER,man,timer_gettime(),fetch,
PROC,PROC_OTHER,man,vm86(),enter,
PROC,PROC_SET,man,alarm(),arrange for,
PROC,PROC_SET,man,alarm(),set,
PROC,PROC_SET,man,capget(),get,
PROC,PROC_SET,man,capset(),set,
PROC,PROC_SET,man,get_robust_list(),get,
PROC,PROC_SET,man,get_thread_area(),manipulate,
PROC,PROC_SET,man,get_thread_area(),store,
PROC,PROC_SET,man,getitimer(),get,
PROC,PROC_SET,man,getitimer(),place,
PROC,PROC_SET,man,ioprio_get(),get,
PROC,PROC_SET,man,ioprio_set(),set,
PROC,PROC_SET,man,nice(),change,
PROC,PROC_SET,man,sched_getaffinity(),write,
PROC,PROC_SET,man,sched_getaffinity(),get,
PROC,PROC_SET,man,sched_getattr(),get,
PROC,PROC_SET,man,sched_getattr(),fetch,
PROC,PROC_SET,man,sched_getparam(),get,
PROC,PROC_SET,man,sched_getparam(),retrieve,
PROC,PROC_SET,man,sched_getscheduler(),get,
PROC,PROC_SET,man,sched_setaffinity(),set,
PROC,PROC_SET,man,sched_setattr(),set,
PROC,PROC_SET,man,sched_setparam(),set,
PROC,PROC_SET,man,sched_setscheduler(),set,
PROC,PROC_SET,man,setitimer(),set,
PROC,PROC_SET,man,setns(),reassociate,
PROC,PROC_SET,man,sgetmask(),manipulate,
PROC,PROC_SET,man,sigaltstack(),set,
PROC,PROC_SET,man,sigaltstack(),get,
PROC,PROC_SET,man,sigaltstack(),retrieve,
PROC,PROC_SET,man,sigaltstack(),define,
PROC,PROC_SET,man,ssetmask(),set,
