step,src_node,type,deg,edge,dst_node,type,deg,importance,tactic
583,1526,proc,17,read,/dev/urandom,file,2,0
584,1526,proc,17,open,/dev/urandom,file,2,1
585,1526,proc,17,read,/dev/urandom,file,2,0
586,1526,proc,17,open,/dev/urandom,file,2,1
587,1526,proc,17,read,/dev/urandom,file,2,0
588,1526,proc,17,open,/dev/urandom,file,2,1
589,1526,proc,17,read,/dev/urandom,file,2,0
590,1526,proc,17,open,/dev/urandom,file,2,1
591,1526,proc,17,read,/dev/urandom,file,2,0
592,1526,proc,17,read,NIC,net,1,0,discovery
593,1526,proc,17,read,NIC,net,1,0
594,1526,proc,17,read,NIC,net,1,0
595,1526,proc,17,read,NIC,net,1,0
596,1526,proc,17,read,NIC,net,1,0
597,1526,proc,17,read,NIC,net,1,0
598,1526,proc,17,read,NIC,net,1,0
599,1526,proc,17,read,NIC,net,1,0
600,1526,proc,17,read,NIC,net,1,0
601,1526,proc,17,read,NIC,net,1,0
602,1526,proc,17,connect,23.236.66.13:50050,net,6,1,c&c
603,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
604,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
605,1526,proc,17,fstat64,23.236.66.13:50050,net,6,0
606,1526,proc,17,mmap2,23.236.66.13:50050,net,6,1
608,1526,proc,17,connect,23.236.66.13:50050,net,6,1
609,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
610,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
612,1526,proc,17,connect,23.236.66.13:50050,net,6,1
613,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
614,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
616,1526,proc,17,connect,23.236.66.13:50050,net,6,1
617,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
618,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
620,1526,proc,17,connect,23.236.66.13:50050,net,6,1
621,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
622,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
624,1526,proc,17,connect,23.236.66.13:50050,net,6,1
625,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
626,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
628,1526,proc,17,connect,23.236.66.13:50050,net,6,1
629,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
630,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
632,1526,proc,17,connect,23.236.66.13:50050,net,6,1
633,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
634,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
636,1526,proc,17,connect,23.236.66.13:50050,net,6,1
637,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
638,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
640,1526,proc,17,connect,23.236.66.13:50050,net,6,1
641,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
642,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
644,1526,proc,17,connect,23.236.66.13:50050,net,6,1
645,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
646,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
648,1526,proc,17,connect,23.236.66.13:50050,net,6,1
649,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
650,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
652,1526,proc,17,connect,23.236.66.13:50050,net,6,1
653,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
654,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
656,1526,proc,17,connect,23.236.66.13:50050,net,6,1
657,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
658,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
660,1526,proc,17,connect,23.236.66.13:50050,net,6,1
661,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
662,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
664,1526,proc,17,connect,23.236.66.13:50050,net,6,1
665,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
666,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
668,1526,proc,17,connect,23.236.66.13:50050,net,6,1
669,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
670,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
672,1526,proc,17,connect,23.236.66.13:50050,net,6,1
673,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
674,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
676,1526,proc,17,connect,23.236.66.13:50050,net,6,1
677,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
678,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
680,1526,proc,17,connect,23.236.66.13:50050,net,6,1
681,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
682,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
684,1526,proc,17,connect,23.236.66.13:50050,net,6,1
685,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
686,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
688,1526,proc,17,connect,23.236.66.13:50050,net,6,1
689,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
690,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
692,1526,proc,17,connect,23.236.66.13:50050,net,6,1
693,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
694,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
696,1526,proc,17,connect,23.236.66.13:50050,net,6,1
697,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
698,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
700,1526,proc,17,connect,23.236.66.13:50050,net,6,1
701,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
702,1526,proc,17,getsockopt,23.236.66.13:50050,net,6,0
704,1526,proc,17,connect,23.236.66.13:50050,net,6,1
705,1526,proc,17,_newselect,23.236.66.13:50050,net,6,0
